activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(225,)	0.0001	0.797	0.511	0.905	0.579	0.456	0.708	0.588	0.212	0.764	0.246	-0.027	0.488	0.597	0.224	0.771	0.262	-0.005	0.498
relu	(250,)	0.1	0.783	0.51	0.886	0.558	0.425	0.698	0.577	0.257	0.726	0.276	-0.018	0.491	0.584	0.224	0.752	0.256	-0.025	0.488
relu	(250,)	0.01	0.8	0.549	0.894	0.6	0.473	0.722	0.599	0.233	0.77	0.266	0.001	0.501	0.597	0.245	0.762	0.279	0.007	0.503
relu	(250,)	0.001	0.806	0.527	0.911	0.595	0.479	0.719	0.568	0.2	0.739	0.228	-0.065	0.47	0.565	0.163	0.752	0.193	-0.095	0.458
relu	(250,)	0.0001	0.805	0.527	0.909	0.594	0.477	0.718	0.579	0.188	0.762	0.222	-0.055	0.475	0.578	0.184	0.762	0.217	-0.061	0.473
relu	(275,)	0.1	0.788	0.527	0.886	0.576	0.441	0.707	0.591	0.237	0.756	0.264	-0.011	0.496	0.545	0.163	0.724	0.186	-0.123	0.444
relu	(275,)	0.01	0.797	0.554	0.888	0.595	0.466	0.721	0.604	0.212	0.787	0.254	-0.002	0.499	0.565	0.245	0.714	0.264	-0.043	0.48
relu	(275,)	0.001	0.808	0.533	0.911	0.602	0.486	0.722	0.575	0.237	0.733	0.262	-0.032	0.485	0.584	0.204	0.762	0.238	-0.038	0.483
relu	(275,)	0.0001	0.809	0.528	0.915	0.601	0.488	0.721	0.592	0.249	0.752	0.28	0.002	0.501	0.597	0.224	0.771	0.262	-0.005	0.498
relu	(300,)	0.1	0.791	0.517	0.895	0.575	0.454	0.706	0.613	0.253	0.781	0.289	0.039	0.517	0.617	0.286	0.771	0.322	0.062	0.529
relu	(300,)	0.01	0.8	0.544	0.896	0.596	0.469	0.72	0.569	0.188	0.747	0.216	-0.073	0.467	0.571	0.163	0.762	0.195	-0.085	0.463
relu	(300,)	0.001	0.806	0.527	0.911	0.599	0.482	0.719	0.59	0.233	0.756	0.266	-0.01	0.494	0.597	0.265	0.752	0.295	0.019	0.509
relu	(300,)	0.0001	0.791	0.495	0.903	0.564	0.438	0.699	0.606	0.22	0.787	0.262	0.008	0.504	0.578	0.163	0.771	0.198	-0.075	0.467
relu	(25,5)	0.1	0.728	0.006	1.0	0.011	0.029	0.503	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
relu	(25,5)	0.01	0.752	0.517	0.841	0.533	0.367	0.679	0.613	0.351	0.735	0.362	0.09	0.543	0.545	0.306	0.657	0.3	-0.036	0.482
relu	(25,5)	0.001	0.788	0.549	0.878	0.586	0.447	0.714	0.591	0.265	0.743	0.292	0.01	0.504	0.584	0.224	0.752	0.256	-0.025	0.488
relu	(25,5)	0.0001	0.78	0.521	0.878	0.565	0.424	0.7	0.584	0.216	0.756	0.249	-0.03	0.486	0.545	0.204	0.705	0.222	-0.096	0.454
relu	(50,10)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,10)	0.01	0.789	0.544	0.882	0.585	0.449	0.713	0.581	0.261	0.73	0.28	-0.012	0.495	0.623	0.306	0.771	0.341	0.083	0.539
