Kernel	C	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
linear	1	-24.3	22.2	-0.3	0.704	0.605	0.741	0.528	0.324	0.673	0.547	0.453	0.59	0.388	0.041	0.522	0.552	0.388	0.629	0.355	0.016	0.508
linear	5	-24.3	22.2	-0.3	0.704	0.605	0.741	0.528	0.324	0.673	0.547	0.453	0.59	0.388	0.041	0.522	0.552	0.388	0.629	0.355	0.016	0.508
linear	10	-24.3	22.2	-0.3	0.704	0.605	0.741	0.528	0.324	0.673	0.547	0.453	0.59	0.388	0.041	0.522	0.552	0.388	0.629	0.355	0.016	0.508
linear	15	-24.3	22.2	-0.3	0.704	0.605	0.741	0.528	0.324	0.673	0.547	0.453	0.59	0.388	0.041	0.522	0.552	0.388	0.629	0.355	0.016	0.508
