Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	2	0.01	2	-6.8	8.0	-0.0	0.762	0.55	0.843	0.558	0.397	0.697	0.556	0.29	0.68	0.292	-0.03	0.485	0.558	0.265	0.695	0.277	-0.04	0.48
poly	5	2	0.01	3	-6.3	8.9	-0.2	0.743	0.638	0.783	0.576	0.399	0.71	0.544	0.392	0.615	0.353	0.007	0.504	0.519	0.347	0.6	0.315	-0.051	0.473
poly	5	2	0.001	0	-3.7	5.0	0.0	0.764	0.457	0.88	0.51	0.369	0.668	0.6	0.18	0.796	0.22	-0.028	0.488	0.565	0.122	0.771	0.152	-0.125	0.447
poly	5	2	0.001	1	-5.2	6.2	0.1	0.749	0.528	0.832	0.537	0.367	0.68	0.608	0.367	0.72	0.373	0.088	0.544	0.597	0.367	0.705	0.367	0.072	0.536
poly	5	2	0.001	2	-7.2	8.5	-0.3	0.699	0.704	0.698	0.562	0.365	0.701	0.544	0.506	0.562	0.414	0.064	0.534	0.552	0.51	0.571	0.42	0.076	0.541
poly	5	2	0.001	3	-8.8	10.2	-0.1	0.722	0.594	0.77	0.54	0.348	0.682	0.587	0.449	0.651	0.408	0.097	0.55	0.597	0.49	0.648	0.436	0.131	0.569
poly	5	3	0.1	0	-71.6	9.1	-0.2	0.759	0.599	0.82	0.577	0.41	0.71	0.519	0.229	0.655	0.232	-0.118	0.442	0.506	0.224	0.638	0.224	-0.137	0.431
poly	5	3	0.1	1	-57.3	7.3	-0.2	0.762	0.616	0.818	0.586	0.421	0.717	0.526	0.249	0.655	0.249	-0.097	0.452	0.506	0.204	0.648	0.208	-0.15	0.426
poly	5	3	0.1	2	-47.4	5.9	-0.2	0.774	0.621	0.832	0.601	0.445	0.727	0.527	0.241	0.661	0.244	-0.099	0.451	0.519	0.245	0.648	0.245	-0.107	0.446
poly	5	3	0.1	3	-39.4	4.9	-0.1	0.783	0.6	0.853	0.6	0.454	0.726	0.557	0.245	0.703	0.259	-0.055	0.474	0.519	0.204	0.667	0.213	-0.132	0.435
poly	5	3	0.01	0	-71.6	9.1	-0.2	0.759	0.599	0.82	0.577	0.41	0.71	0.519	0.229	0.655	0.232	-0.118	0.442	0.506	0.224	0.638	0.224	-0.137	0.431
