Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	3	0.001	0	-12.3	3.8	-0.2	0.975	0.963	0.988	0.975	0.951	0.975	0.909	0.888	0.93	0.907	0.818	0.909	0.914	0.905	0.924	0.913	0.829	0.914
poly	5	3	0.001	1	-2.4	1.6	0.2	0.998	0.998	0.998	0.998	0.996	0.998	0.928	0.998	0.857	0.932	0.864	0.928	0.929	1.0	0.857	0.933	0.866	0.929
poly	5	3	0.001	2	-2.7	2.0	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.898	1.0	0.796	0.908	0.813	0.898	0.9	1.0	0.8	0.909	0.816	0.9
poly	5	3	0.001	3	-2.9	2.2	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.898	1.0	0.796	0.908	0.813	0.898	0.895	1.0	0.79	0.905	0.808	0.895
poly	10	2	0.1	0	-3.0	3.4	0.1	0.982	0.981	0.983	0.982	0.965	0.982	0.97	0.979	0.962	0.971	0.941	0.97	0.981	0.99	0.971	0.981	0.962	0.981
poly	10	2	0.1	1	-2.7	2.2	0.1	0.987	0.983	0.99	0.987	0.973	0.987	0.975	0.979	0.971	0.975	0.951	0.975	0.981	0.99	0.971	0.981	0.962	0.981
poly	10	2	0.1	2	-2.5	2.0	-0.1	0.99	0.994	0.986	0.99	0.979	0.99	0.941	0.989	0.893	0.944	0.886	0.941	0.957	0.99	0.924	0.959	0.916	0.957
poly	10	2	0.1	3	-2.4	1.9	0.0	0.992	0.992	0.992	0.992	0.984	0.992	0.953	0.983	0.924	0.955	0.908	0.953	0.971	0.99	0.952	0.972	0.944	0.971
poly	10	2	0.01	0	-3.0	3.4	0.1	0.982	0.981	0.983	0.982	0.965	0.982	0.97	0.979	0.962	0.971	0.941	0.97	0.981	0.99	0.971	0.981	0.962	0.981
poly	10	2	0.01	1	-2.1	1.8	0.1	0.993	0.994	0.992	0.993	0.986	0.993	0.941	0.99	0.891	0.944	0.886	0.941	0.948	0.99	0.905	0.95	0.899	0.948
poly	10	2	0.01	2	-2.1	1.6	0.1	0.995	0.998	0.992	0.995	0.99	0.995	0.93	0.992	0.867	0.934	0.866	0.93	0.929	0.99	0.867	0.933	0.864	0.929
poly	10	2	0.01	3	-2.3	1.5	0.1	0.996	0.998	0.994	0.996	0.992	0.996	0.918	0.996	0.84	0.924	0.847	0.918	0.924	1.0	0.848	0.929	0.858	0.924
poly	10	2	0.001	0	-2.6	3.3	0.1	0.979	0.975	0.983	0.979	0.959	0.979	0.948	0.93	0.966	0.946	0.896	0.948	0.967	0.962	0.971	0.967	0.933	0.967
