Kernel	C	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
linear	1	-3.8	3.1	0.0	0.997	1.0	0.994	0.997	0.994	0.997	0.891	1.0	0.783	0.902	0.802	0.891	0.895	1.0	0.79	0.905	0.808	0.895
linear	5	-3.8	3.1	0.0	0.997	1.0	0.994	0.997	0.994	0.997	0.891	1.0	0.783	0.902	0.802	0.891	0.895	1.0	0.79	0.905	0.808	0.895
linear	10	-3.8	3.1	0.0	0.997	1.0	0.994	0.997	0.994	0.997	0.891	1.0	0.783	0.902	0.802	0.891	0.895	1.0	0.79	0.905	0.808	0.895
linear	15	-3.8	3.1	0.0	0.997	1.0	0.994	0.997	0.994	0.997	0.891	1.0	0.783	0.902	0.802	0.891	0.895	1.0	0.79	0.905	0.808	0.895
