FPR	SVM CV TPR AUC = 0.9905 (+/- 0.0047)	RF CV TPR AUC = 0.9949 (+/- 0.0)	MLP CV TPR AUC = 0.9948 (+/- 0.0003)	SVM blind TPR AUC = 0.978	RF blind TPR AUC = 1.0	MLP blind TPR AUC = 0.9888
0	0	0	0	0.00952380952380952	1	0.742857142857143
0.0101010101010101	0.610416666666667	1	0.989690721649485	0.00952380952380952	1	0.771428571428571
0.0202020202020202	0.979359965635739	1	0.993814432989691	0.990476190476191	1	0.866666666666667
0.0303030303030303	0.995876288659794	1	1	0.990476190476191	1	0.895238095238095
0.0404040404040404	0.997938144329897	1	1	0.990476190476191	1	0.895238095238095
0.0505050505050505	0.997938144329897	1	1	0.990476190476191	1	0.942857142857143
0.0606060606060606	0.997938144329897	1	1	0.990476190476191	1	0.952380952380952
0.0707070707070707	0.997938144329897	1	1	0.990476190476191	1	0.961904761904762
0.0808080808080808	0.997938144329897	1	1	0.990476190476191	1	0.961904761904762
0.0909090909090909	0.997938144329897	1	1	0.990476190476191	1	0.961904761904762
0.101010101010101	0.997938144329897	1	1	0.990476190476191	1	0.961904761904762
0.111111111111111	0.997938144329897	1	1	0.990476190476191	1	0.971428571428571
0.121212121212121	0.997938144329897	1	1	0.990476190476191	1	0.971428571428571
0.131313131313131	0.997938144329897	1	1	0.990476190476191	1	0.980952380952381
0.141414141414141	0.997938144329897	1	1	0.990476190476191	1	0.980952380952381
0.151515151515152	1	1	1	0.990476190476191	1	0.980952380952381
0.161616161616162	1	1	1	0.990476190476191	1	0.980952380952381
0.171717171717172	1	1	1	0.990476190476191	1	0.980952380952381
0.181818181818182	1	1	1	0.990476190476191	1	1
0.191919191919192	1	1	1	0.990476190476191	1	1
0.202020202020202	1	1	1	0.990476190476191	1	1
0.212121212121212	1	1	1	0.990476190476191	1	1
0.222222222222222	1	1	1	0.990476190476191	1	1
0.232323232323232	1	1	1	0.990476190476191	1	1
0.242424242424242	1	1	1	0.990476190476191	1	1
0.252525252525252	1	1	1	0.990476190476191	1	1
0.262626262626263	1	1	1	0.990476190476191	1	1
0.272727272727273	1	1	1	0.990476190476191	1	1
0.282828282828283	1	1	1	0.990476190476191	1	1
0.292929292929293	1	1	1	0.990476190476191	1	1
0.303030303030303	1	1	1	0.990476190476191	1	1
0.313131313131313	1	1	1	0.990476190476191	1	1
0.323232323232323	1	1	1	0.990476190476191	1	1
0.333333333333333	1	1	1	0.990476190476191	1	1
0.343434343434343	1	1	1	0.990476190476191	1	1
0.353535353535354	1	1	1	0.990476190476191	1	1
0.363636363636364	1	1	1	0.990476190476191	1	1
0.373737373737374	1	1	1	0.990476190476191	1	1
0.383838383838384	1	1	1	0.990476190476191	1	1
0.393939393939394	1	1	1	0.990476190476191	1	1
0.404040404040404	1	1	1	0.990476190476191	1	1
0.414141414141414	1	1	1	0.990476190476191	1	1
0.424242424242424	1	1	1	0.990476190476191	1	1
0.434343434343434	1	1	1	0.990476190476191	1	1
0.444444444444444	1	1	1	0.990476190476191	1	1
0.454545454545455	1	1	1	0.990476190476191	1	1
0.464646464646465	1	1	1	0.990476190476191	1	1
0.474747474747475	1	1	1	0.990476190476191	1	1
0.484848484848485	1	1	1	0.990476190476191	1	1
0.494949494949495	1	1	1	0.990476190476191	1	1
0.505050505050505	1	1	1	0.990476190476191	1	1
0.515151515151515	1	1	1	0.990476190476191	1	1
0.525252525252525	1	1	1	0.990476190476191	1	1
0.535353535353535	1	1	1	0.990476190476191	1	1
0.545454545454546	1	1	1	0.990476190476191	1	1
0.555555555555556	1	1	1	0.990476190476191	1	1
0.565656565656566	1	1	1	0.990476190476191	1	1
0.575757575757576	1	1	1	0.990476190476191	1	1
0.585858585858586	1	1	1	0.990476190476191	1	1
0.595959595959596	1	1	1	0.990476190476191	1	1
0.606060606060606	1	1	1	0.990476190476191	1	1
0.616161616161616	1	1	1	0.990476190476191	1	1
0.626262626262626	1	1	1	0.990476190476191	1	1
0.636363636363636	1	1	1	0.990476190476191	1	1
0.646464646464646	1	1	1	0.990476190476191	1	1
0.656565656565657	1	1	1	0.990476190476191	1	1
0.666666666666667	1	1	1	0.990476190476191	1	1
0.676767676767677	1	1	1	0.990476190476191	1	1
0.686868686868687	1	1	1	0.990476190476191	1	1
0.696969696969697	1	1	1	0.990476190476191	1	1
0.707070707070707	1	1	1	0.990476190476191	1	1
0.717171717171717	1	1	1	0.990476190476191	1	1
0.727272727272727	1	1	1	0.990476190476191	1	1
0.737373737373737	1	1	1	0.990476190476191	1	1
0.747474747474748	1	1	1	0.990476190476191	1	1
0.757575757575758	1	1	1	1	1	1
0.767676767676768	1	1	1	1	1	1
0.777777777777778	1	1	1	1	1	1
0.787878787878788	1	1	1	1	1	1
0.797979797979798	1	1	1	1	1	1
0.808080808080808	1	1	1	1	1	1
0.818181818181818	1	1	1	1	1	1
0.828282828282828	1	1	1	1	1	1
0.838383838383838	1	1	1	1	1	1
0.848484848484848	1	1	1	1	1	1
0.858585858585859	1	1	1	1	1	1
0.868686868686869	1	1	1	1	1	1
0.878787878787879	1	1	1	1	1	1
0.888888888888889	1	1	1	1	1	1
0.898989898989899	1	1	1	1	1	1
0.909090909090909	1	1	1	1	1	1
0.919191919191919	1	1	1	1	1	1
0.929292929292929	1	1	1	1	1	1
0.939393939393939	1	1	1	1	1	1
0.94949494949495	1	1	1	1	1	1
0.95959595959596	1	1	1	1	1	1
0.96969696969697	1	1	1	1	1	1
0.97979797979798	1	1	1	1	1	1
0.98989898989899	1	1	1	1	1	1
1	1	1	1	1	1	1
