Kernel	C	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
linear	1	-22.6	25.1	0.7	0.827	0.847	0.808	0.83	0.656	0.827	0.745	0.825	0.665	0.763	0.497	0.745	0.752	0.848	0.657	0.774	0.514	0.752
linear	5	-22.6	25.1	0.7	0.829	0.849	0.81	0.832	0.66	0.829	0.744	0.825	0.663	0.763	0.495	0.744	0.752	0.848	0.657	0.774	0.514	0.752
linear	10	-22.6	25.1	0.7	0.829	0.849	0.81	0.832	0.66	0.829	0.744	0.825	0.663	0.763	0.495	0.744	0.752	0.848	0.657	0.774	0.514	0.752
linear	15	-22.6	25.1	0.7	0.829	0.849	0.81	0.832	0.66	0.829	0.744	0.825	0.663	0.763	0.495	0.744	0.752	0.848	0.657	0.774	0.514	0.752
