Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	2	0.01	2	-8.3	6.4	0.5	0.891	0.886	0.897	0.89	0.783	0.891	0.754	0.8	0.709	0.765	0.511	0.754	0.781	0.819	0.743	0.789	0.564	0.781
poly	5	2	0.01	3	-8.0	7.3	0.4	0.886	0.901	0.872	0.888	0.773	0.886	0.751	0.821	0.682	0.768	0.508	0.751	0.767	0.848	0.686	0.784	0.54	0.767
poly	5	2	0.001	0	-3.2	7.9	0.4	0.807	0.756	0.859	0.796	0.623	0.808	0.732	0.67	0.794	0.714	0.471	0.732	0.771	0.733	0.81	0.762	0.544	0.771
poly	5	2	0.001	1	-6.1	9.2	0.4	0.82	0.774	0.866	0.81	0.645	0.82	0.75	0.739	0.762	0.747	0.502	0.75	0.781	0.8	0.762	0.785	0.562	0.781
poly	5	2	0.001	2	-7.9	10.3	0.5	0.827	0.778	0.876	0.818	0.658	0.827	0.758	0.749	0.768	0.755	0.517	0.758	0.781	0.79	0.771	0.783	0.562	0.781
poly	5	2	0.001	3	-9.2	11.2	0.4	0.831	0.809	0.853	0.827	0.664	0.831	0.769	0.813	0.724	0.778	0.54	0.769	0.795	0.838	0.752	0.804	0.593	0.795
poly	5	3	0.1	0	-123.3	14.6	0.4	0.862	0.876	0.849	0.864	0.725	0.862	0.802	0.869	0.735	0.814	0.609	0.802	0.829	0.905	0.752	0.841	0.665	0.829
poly	5	3	0.1	1	-90.9	15.3	0.5	0.873	0.863	0.882	0.872	0.746	0.873	0.804	0.844	0.764	0.811	0.61	0.804	0.824	0.895	0.752	0.836	0.654	0.824
poly	5	3	0.1	2	-69.8	15.0	0.4	0.884	0.892	0.876	0.885	0.769	0.884	0.799	0.863	0.735	0.811	0.603	0.799	0.814	0.905	0.724	0.83	0.639	0.814
poly	5	3	0.1	3	-54.7	14.3	0.4	0.888	0.896	0.88	0.889	0.777	0.888	0.8	0.865	0.735	0.812	0.605	0.8	0.81	0.895	0.724	0.825	0.628	0.81
poly	5	3	0.01	0	-123.3	14.6	0.4	0.862	0.876	0.849	0.864	0.725	0.862	0.802	0.869	0.735	0.814	0.609	0.802	0.829	0.905	0.752	0.841	0.665	0.829
