Kernel	C	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
linear	1	-7.6	5.5	0.7	0.878	0.855	0.901	0.875	0.757	0.878	0.81	0.83	0.79	0.814	0.622	0.81	0.871	0.914	0.829	0.877	0.746	0.871
linear	5	-7.6	5.5	0.7	0.878	0.855	0.901	0.875	0.757	0.878	0.81	0.83	0.79	0.814	0.622	0.81	0.871	0.914	0.829	0.877	0.746	0.871
linear	10	-7.6	5.5	0.7	0.878	0.855	0.901	0.875	0.757	0.878	0.81	0.83	0.79	0.814	0.622	0.81	0.871	0.914	0.829	0.877	0.746	0.871
linear	15	-7.6	5.5	0.7	0.878	0.855	0.901	0.875	0.757	0.878	0.81	0.83	0.79	0.814	0.622	0.81	0.871	0.914	0.829	0.877	0.746	0.871
