Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	2	0.01	2	-3.2	1.9	0.5	0.915	0.861	0.969	0.91	0.836	0.915	0.838	0.861	0.815	0.842	0.679	0.838	0.862	0.924	0.8	0.87	0.729	0.862
poly	5	2	0.01	3	-3.2	1.8	0.4	0.912	0.872	0.952	0.908	0.828	0.912	0.83	0.897	0.762	0.84	0.666	0.83	0.867	0.943	0.79	0.876	0.742	0.867
poly	5	2	0.001	0	-5.9	2.2	0.5	0.915	0.855	0.975	0.909	0.838	0.915	0.829	0.855	0.802	0.833	0.659	0.829	0.857	0.914	0.8	0.865	0.719	0.857
poly	5	2	0.001	1	-3.9	2.0	0.6	0.909	0.851	0.967	0.903	0.824	0.909	0.844	0.851	0.836	0.845	0.689	0.844	0.89	0.914	0.867	0.893	0.782	0.89
poly	5	2	0.001	2	-4.8	2.2	0.6	0.908	0.861	0.955	0.903	0.82	0.908	0.84	0.859	0.821	0.843	0.681	0.84	0.89	0.933	0.848	0.895	0.784	0.89
poly	5	2	0.001	3	-5.4	2.3	0.5	0.906	0.884	0.928	0.904	0.813	0.906	0.838	0.886	0.79	0.846	0.68	0.838	0.857	0.933	0.781	0.867	0.723	0.857
poly	5	3	0.1	0	-2.6	11.5	0.4	0.908	0.917	0.899	0.909	0.816	0.908	0.828	0.888	0.768	0.837	0.661	0.828	0.838	0.895	0.781	0.847	0.681	0.838
poly	5	3	0.1	1	-2.5	10.6	0.4	0.907	0.911	0.903	0.907	0.814	0.907	0.83	0.888	0.771	0.839	0.665	0.83	0.843	0.905	0.781	0.852	0.691	0.843
poly	5	3	0.1	2	-2.5	9.8	0.4	0.909	0.911	0.907	0.909	0.818	0.909	0.83	0.884	0.777	0.839	0.666	0.83	0.848	0.914	0.781	0.857	0.702	0.848
poly	5	3	0.1	3	-2.5	9.3	0.4	0.911	0.901	0.921	0.91	0.823	0.911	0.834	0.884	0.785	0.842	0.673	0.834	0.848	0.914	0.781	0.857	0.702	0.848
poly	5	3	0.01	0	-2.6	11.5	0.4	0.908	0.917	0.899	0.909	0.816	0.908	0.828	0.888	0.768	0.837	0.661	0.828	0.838	0.895	0.781	0.847	0.681	0.838
poly	5	3	0.01	1	-2.5	7.0	0.5	0.92	0.874	0.967	0.916	0.845	0.92	0.85	0.853	0.848	0.851	0.701	0.85	0.867	0.895	0.838	0.87	0.735	0.867
