activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(250,)	0.1	0.864	0.917	0.812	0.871	0.733	0.864	0.771	0.897	0.646	0.797	0.561	0.771	0.79	0.924	0.657	0.815	0.603	0.79
relu	(250,)	0.01	0.878	0.925	0.83	0.883	0.76	0.878	0.773	0.903	0.644	0.799	0.567	0.773	0.79	0.914	0.667	0.814	0.6	0.79
relu	(250,)	0.001	0.873	0.93	0.816	0.879	0.751	0.873	0.779	0.916	0.642	0.806	0.581	0.779	0.81	0.914	0.705	0.828	0.633	0.81
relu	(250,)	0.0001	0.872	0.934	0.81	0.879	0.75	0.872	0.773	0.922	0.625	0.803	0.573	0.773	0.795	0.924	0.667	0.819	0.611	0.795
relu	(275,)	0.1	0.843	0.913	0.772	0.853	0.693	0.843	0.748	0.893	0.602	0.78	0.519	0.748	0.767	0.952	0.581	0.803	0.574	0.767
relu	(275,)	0.01	0.867	0.923	0.812	0.874	0.74	0.868	0.765	0.905	0.625	0.794	0.552	0.765	0.81	0.933	0.686	0.831	0.639	0.81
relu	(275,)	0.001	0.881	0.934	0.828	0.887	0.767	0.881	0.766	0.907	0.625	0.795	0.554	0.766	0.795	0.924	0.667	0.819	0.611	0.795
relu	(275,)	0.0001	0.875	0.934	0.816	0.881	0.756	0.875	0.766	0.916	0.615	0.796	0.557	0.766	0.79	0.933	0.648	0.817	0.606	0.79
relu	(300,)	0.1	0.839	0.896	0.781	0.848	0.683	0.839	0.766	0.886	0.646	0.791	0.548	0.766	0.824	0.943	0.705	0.843	0.667	0.824
relu	(300,)	0.01	0.871	0.915	0.826	0.876	0.745	0.871	0.768	0.905	0.63	0.796	0.557	0.768	0.8	0.914	0.686	0.821	0.616	0.8
relu	(300,)	0.001	0.885	0.927	0.843	0.89	0.773	0.885	0.787	0.922	0.651	0.812	0.596	0.787	0.81	0.914	0.705	0.828	0.633	0.81
relu	(300,)	0.0001	0.881	0.934	0.828	0.887	0.767	0.881	0.783	0.924	0.642	0.81	0.59	0.783	0.8	0.933	0.667	0.824	0.623	0.8
relu	(25,5)	0.1	0.52	0.594	0.449	0.408	0.063	0.522	0.507	0.585	0.429	0.4	0.021	0.507	0.5	1.0	0.0	0.667	0.0	0.5
relu	(25,5)	0.01	0.864	0.923	0.805	0.872	0.734	0.864	0.769	0.909	0.629	0.797	0.561	0.769	0.805	0.933	0.676	0.827	0.631	0.805
relu	(25,5)	0.001	0.859	0.932	0.787	0.869	0.727	0.859	0.757	0.903	0.611	0.788	0.538	0.757	0.776	0.914	0.638	0.803	0.575	0.776
relu	(25,5)	0.0001	0.847	0.936	0.758	0.859	0.706	0.847	0.752	0.893	0.611	0.783	0.526	0.752	0.752	0.905	0.6	0.785	0.53	0.752
relu	(50,10)	0.1	0.501	0.2	0.8	0.134	0.0	0.5	0.5	0.2	0.8	0.133	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(50,10)	0.01	0.869	0.923	0.814	0.875	0.742	0.869	0.753	0.895	0.611	0.784	0.529	0.753	0.757	0.905	0.61	0.788	0.538	0.757
relu	(50,10)	0.001	0.85	0.925	0.774	0.86	0.709	0.85	0.758	0.924	0.592	0.792	0.547	0.758	0.795	0.933	0.657	0.82	0.614	0.795
relu	(50,10)	0.0001	0.855	0.934	0.776	0.865	0.72	0.855	0.749	0.912	0.585	0.784	0.526	0.749	0.786	0.943	0.629	0.815	0.602	0.786
relu	(75,15)	0.1	0.501	0.8	0.2	0.534	0.0	0.5	0.5	0.8	0.2	0.533	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(75,15)	0.01	0.862	0.905	0.82	0.868	0.728	0.862	0.756	0.891	0.621	0.785	0.532	0.756	0.81	0.933	0.686	0.831	0.639	0.81
relu	(75,15)	0.001	0.876	0.93	0.822	0.882	0.756	0.876	0.763	0.893	0.632	0.79	0.545	0.763	0.771	0.914	0.629	0.8	0.566	0.771
relu	(75,15)	0.0001	0.871	0.921	0.82	0.877	0.746	0.871	0.775	0.914	0.636	0.803	0.573	0.775	0.781	0.914	0.648	0.807	0.583	0.781
relu	(100,20)	0.1	0.501	0.6	0.4	0.4	0.0	0.5	0.5	0.6	0.4	0.4	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(100,20)	0.01	0.855	0.915	0.795	0.863	0.716	0.855	0.762	0.899	0.625	0.791	0.545	0.762	0.781	0.924	0.638	0.808	0.586	0.781
relu	(100,20)	0.001	0.875	0.925	0.824	0.881	0.753	0.875	0.79	0.918	0.663	0.814	0.601	0.79	0.814	0.943	0.686	0.835	0.65	0.814
relu	(100,20)	0.0001	0.881	0.928	0.834	0.886	0.765	0.881	0.781	0.912	0.65	0.806	0.583	0.781	0.8	0.943	0.657	0.825	0.626	0.8
relu	(125,25)	0.1	0.498	0.4	0.598	0.266	-0.015	0.499	0.5	0.402	0.598	0.27	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(125,25)	0.01	0.863	0.921	0.805	0.871	0.732	0.863	0.763	0.897	0.629	0.791	0.547	0.763	0.819	0.914	0.724	0.835	0.65	0.819
relu	(125,25)	0.001	0.876	0.925	0.826	0.882	0.756	0.876	0.782	0.91	0.653	0.807	0.584	0.782	0.81	0.924	0.695	0.829	0.636	0.81
relu	(125,25)	0.0001	0.874	0.921	0.826	0.879	0.752	0.874	0.791	0.918	0.665	0.815	0.603	0.791	0.81	0.943	0.676	0.832	0.642	0.81
relu	(150,30)	0.1	0.499	0.2	0.8	0.133	0.0	0.5	0.501	0.2	0.802	0.134	0.014	0.501	0.5	1.0	0.0	0.667	0.0	0.5
relu	(150,30)	0.01	0.876	0.927	0.824	0.882	0.756	0.876	0.785	0.912	0.657	0.809	0.59	0.785	0.8	0.914	0.686	0.821	0.616	0.8
relu	(150,30)	0.001	0.876	0.938	0.814	0.883	0.758	0.876	0.784	0.909	0.659	0.808	0.586	0.784	0.814	0.924	0.705	0.833	0.644	0.814
relu	(150,30)	0.0001	0.881	0.936	0.826	0.887	0.768	0.881	0.779	0.909	0.65	0.804	0.578	0.779	0.8	0.924	0.676	0.822	0.619	0.8
relu	(175,35)	0.1	0.517	0.388	0.647	0.272	0.049	0.517	0.528	0.392	0.663	0.279	0.072	0.528	0.5	0.0	1.0	0.0	0.0	0.5
relu	(175,35)	0.01	0.877	0.927	0.826	0.883	0.758	0.877	0.766	0.907	0.625	0.795	0.555	0.766	0.771	0.933	0.61	0.803	0.574	0.771
relu	(175,35)	0.001	0.876	0.934	0.818	0.883	0.757	0.876	0.782	0.907	0.657	0.806	0.583	0.782	0.805	0.914	0.695	0.824	0.625	0.805
relu	(175,35)	0.0001	0.878	0.923	0.832	0.883	0.759	0.878	0.779	0.901	0.657	0.803	0.576	0.779	0.805	0.905	0.705	0.823	0.622	0.805
relu	(200,40)	0.1	0.5	1.0	0.0	0.667	0.0	0.5	0.499	0.998	0.0	0.666	-0.014	0.499	0.5	1.0	0.0	0.667	0.0	0.5
relu	(200,40)	0.01	0.885	0.923	0.847	0.889	0.773	0.885	0.76	0.895	0.625	0.789	0.54	0.76	0.795	0.924	0.667	0.819	0.611	0.795
relu	(200,40)	0.001	0.885	0.936	0.834	0.89	0.775	0.885	0.799	0.928	0.67	0.822	0.619	0.799	0.805	0.943	0.667	0.828	0.634	0.805
relu	(200,40)	0.0001	0.888	0.936	0.841	0.893	0.781	0.888	0.8	0.933	0.667	0.824	0.623	0.8	0.805	0.943	0.667	0.828	0.634	0.805
relu	(225,45)	0.1	0.5	0.002	0.998	0.004	0.0	0.5	0.502	0.006	0.998	0.011	0.02	0.502	0.5	1.0	0.0	0.667	0.0	0.5
relu	(225,45)	0.01	0.876	0.915	0.837	0.88	0.754	0.876	0.775	0.903	0.648	0.801	0.57	0.775	0.795	0.943	0.648	0.822	0.618	0.795
relu	(225,45)	0.001	0.875	0.917	0.832	0.88	0.753	0.875	0.769	0.897	0.64	0.795	0.556	0.769	0.776	0.905	0.648	0.802	0.572	0.776
relu	(225,45)	0.0001	0.88	0.923	0.837	0.885	0.764	0.88	0.768	0.907	0.629	0.796	0.557	0.768	0.795	0.933	0.657	0.82	0.614	0.795
relu	(250,50)	0.1	0.524	0.792	0.254	0.543	0.063	0.523	0.519	0.792	0.246	0.541	0.056	0.519	0.505	1.0	0.01	0.669	0.069	0.505
relu	(250,50)	0.01	0.865	0.93	0.801	0.874	0.737	0.865	0.751	0.891	0.611	0.782	0.524	0.751	0.8	0.933	0.667	0.824	0.623	0.8
relu	(250,50)	0.001	0.881	0.921	0.841	0.886	0.765	0.881	0.771	0.92	0.623	0.801	0.569	0.771	0.8	0.933	0.667	0.824	0.623	0.8
relu	(250,50)	0.0001	0.88	0.923	0.837	0.885	0.764	0.88	0.78	0.918	0.642	0.807	0.583	0.78	0.81	0.933	0.686	0.831	0.639	0.81
relu	(275,55)	0.1	0.497	0.598	0.4	0.398	-0.015	0.499	0.5	0.6	0.4	0.4	0.0	0.5	0.5	0.0	1.0	0.0	0.0	0.5
relu	(275,55)	0.01	0.874	0.921	0.826	0.879	0.752	0.874	0.762	0.899	0.625	0.791	0.545	0.762	0.781	0.914	0.648	0.807	0.583	0.781
relu	(275,55)	0.001	0.886	0.927	0.845	0.891	0.776	0.886	0.774	0.912	0.636	0.802	0.571	0.774	0.805	0.933	0.676	0.827	0.631	0.805
relu	(275,55)	0.0001	0.884	0.919	0.849	0.888	0.77	0.884	0.766	0.91	0.621	0.795	0.555	0.766	0.8	0.933	0.667	0.824	0.623	0.8
relu	(300,60)	0.1	0.5	0.4	0.6	0.267	0.0	0.5	0.5	0.4	0.6	0.267	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(300,60)	0.01	0.881	0.934	0.828	0.887	0.767	0.881	0.772	0.905	0.64	0.799	0.566	0.772	0.8	0.933	0.667	0.824	0.623	0.8
relu	(300,60)	0.001	0.878	0.923	0.832	0.883	0.759	0.878	0.79	0.912	0.667	0.813	0.598	0.79	0.819	0.924	0.714	0.836	0.653	0.819
relu	(300,60)	0.0001	0.887	0.923	0.851	0.891	0.777	0.887	0.784	0.91	0.657	0.808	0.587	0.784	0.81	0.933	0.686	0.831	0.639	0.81
relu	(25,12)	0.1	0.622	0.886	0.359	0.704	0.289	0.622	0.596	0.897	0.295	0.687	0.254	0.596	0.538	0.99	0.086	0.682	0.179	0.538
relu	(25,12)	0.01	0.856	0.925	0.787	0.865	0.72	0.856	0.755	0.91	0.6	0.788	0.537	0.755	0.762	0.924	0.6	0.795	0.554	0.762
relu	(25,12)	0.001	0.854	0.927	0.781	0.864	0.716	0.854	0.786	0.918	0.653	0.811	0.593	0.786	0.8	0.943	0.657	0.825	0.626	0.8
relu	(25,12)	0.0001	0.858	0.917	0.799	0.866	0.722	0.858	0.79	0.914	0.667	0.814	0.6	0.79	0.81	0.933	0.686	0.831	0.639	0.81
relu	(50,25)	0.1	0.502	0.41	0.596	0.287	0.037	0.503	0.507	0.411	0.602	0.293	0.053	0.507	0.5	1.0	0.0	0.667	0.0	0.5
relu	(50,25)	0.01	0.857	0.909	0.805	0.864	0.718	0.857	0.77	0.916	0.623	0.799	0.564	0.77	0.819	0.905	0.733	0.833	0.648	0.819
relu	(50,25)	0.001	0.867	0.919	0.816	0.874	0.74	0.867	0.779	0.918	0.64	0.806	0.581	0.779	0.8	0.933	0.667	0.824	0.623	0.8
relu	(50,25)	0.0001	0.861	0.925	0.797	0.87	0.729	0.861	0.782	0.93	0.634	0.81	0.59	0.782	0.81	0.943	0.676	0.832	0.642	0.81
relu	(75,37)	0.1	0.498	0.398	0.6	0.265	-0.015	0.499	0.501	0.402	0.6	0.27	0.014	0.501	0.5	1.0	0.0	0.667	0.0	0.5
relu	(75,37)	0.01	0.871	0.925	0.816	0.877	0.746	0.871	0.766	0.897	0.634	0.793	0.551	0.766	0.8	0.914	0.686	0.821	0.616	0.8
relu	(75,37)	0.001	0.865	0.93	0.801	0.873	0.738	0.865	0.757	0.903	0.611	0.788	0.538	0.757	0.771	0.914	0.629	0.8	0.566	0.771
relu	(75,37)	0.0001	0.876	0.936	0.816	0.883	0.759	0.876	0.753	0.91	0.596	0.787	0.534	0.753	0.79	0.924	0.657	0.815	0.603	0.79
relu	(100,50)	0.1	0.499	0.402	0.6	0.27	0.014	0.501	0.501	0.402	0.6	0.271	0.014	0.501	0.5	0.0	1.0	0.0	0.0	0.5
relu	(100,50)	0.01	0.866	0.917	0.816	0.873	0.737	0.866	0.765	0.905	0.625	0.794	0.552	0.765	0.795	0.905	0.686	0.815	0.605	0.795
