activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(250,)	0.1	0.92	0.83	0.955	0.85	0.799	0.892	0.701	0.62	0.739	0.569	0.349	0.68	0.805	0.571	0.914	0.651	0.53	0.743
relu	(250,)	0.01	0.925	0.786	0.977	0.851	0.807	0.882	0.723	0.637	0.764	0.593	0.388	0.7	0.721	0.531	0.81	0.547	0.346	0.67
relu	(250,)	0.001	0.947	0.836	0.99	0.897	0.866	0.913	0.732	0.608	0.79	0.591	0.394	0.699	0.714	0.571	0.781	0.56	0.349	0.676
relu	(250,)	0.0001	0.932	0.803	0.981	0.867	0.827	0.892	0.726	0.576	0.796	0.572	0.371	0.686	0.734	0.612	0.79	0.594	0.397	0.701
relu	(275,)	0.1	0.926	0.846	0.956	0.862	0.815	0.901	0.726	0.62	0.775	0.591	0.388	0.698	0.773	0.755	0.781	0.679	0.512	0.768
relu	(275,)	0.01	0.935	0.786	0.992	0.869	0.835	0.889	0.729	0.608	0.785	0.587	0.387	0.696	0.682	0.571	0.733	0.533	0.295	0.652
relu	(275,)	0.001	0.935	0.803	0.986	0.871	0.835	0.894	0.708	0.559	0.777	0.548	0.333	0.668	0.688	0.51	0.771	0.51	0.282	0.641
relu	(275,)	0.0001	0.922	0.748	0.988	0.838	0.8	0.868	0.709	0.527	0.794	0.534	0.323	0.66	0.708	0.51	0.8	0.526	0.316	0.655
relu	(300,)	0.1	0.907	0.814	0.942	0.826	0.765	0.878	0.709	0.563	0.777	0.552	0.339	0.67	0.662	0.469	0.752	0.469	0.222	0.611
relu	(300,)	0.01	0.928	0.836	0.963	0.864	0.816	0.899	0.7	0.547	0.771	0.536	0.316	0.659	0.682	0.551	0.743	0.524	0.287	0.647
relu	(300,)	0.001	0.932	0.819	0.975	0.869	0.827	0.897	0.73	0.616	0.783	0.592	0.391	0.7	0.727	0.551	0.81	0.562	0.365	0.68
relu	(300,)	0.0001	0.929	0.819	0.971	0.864	0.819	0.895	0.717	0.6	0.771	0.574	0.364	0.686	0.734	0.633	0.781	0.602	0.404	0.707
relu	(25,5)	0.1	0.732	0.022	1.0	0.04	0.058	0.511	0.679	0.012	0.99	0.021	0.006	0.501	0.727	0.388	0.886	0.475	0.318	0.637
relu	(25,5)	0.01	0.931	0.819	0.973	0.866	0.824	0.896	0.717	0.657	0.745	0.595	0.386	0.701	0.734	0.673	0.762	0.617	0.419	0.718
relu	(25,5)	0.001	0.929	0.814	0.973	0.862	0.819	0.894	0.721	0.551	0.8	0.557	0.353	0.676	0.76	0.592	0.838	0.611	0.438	0.715
relu	(25,5)	0.0001	0.914	0.748	0.977	0.824	0.779	0.863	0.717	0.49	0.823	0.524	0.326	0.656	0.714	0.531	0.8	0.542	0.334	0.665
