Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	2	0.01	2	-1.7	1.3	-0.2	0.986	0.967	0.994	0.975	0.966	0.981	0.73	0.641	0.771	0.602	0.4	0.706	0.721	0.633	0.762	0.59	0.382	0.697
poly	5	2	0.01	3	-1.8	1.3	-0.2	0.986	0.973	0.992	0.975	0.966	0.982	0.725	0.645	0.762	0.598	0.393	0.703	0.727	0.653	0.762	0.604	0.4	0.707
poly	5	2	0.001	0	-2.2	2.7	-0.2	0.964	0.913	0.983	0.932	0.909	0.948	0.735	0.249	0.962	0.374	0.32	0.605	0.74	0.245	0.971	0.375	0.34	0.608
poly	5	2	0.001	1	-2.2	1.7	-0.3	0.991	0.995	0.99	0.984	0.978	0.992	0.734	0.71	0.745	0.629	0.433	0.727	0.734	0.714	0.743	0.631	0.434	0.729
poly	5	2	0.001	2	-2.5	2.1	-0.2	0.992	0.995	0.992	0.987	0.982	0.993	0.71	0.608	0.758	0.572	0.356	0.683	0.721	0.612	0.771	0.583	0.375	0.692
poly	5	2	0.001	3	-2.6	2.3	-0.3	0.992	1.0	0.99	0.987	0.982	0.995	0.722	0.661	0.75	0.602	0.395	0.706	0.721	0.673	0.743	0.606	0.398	0.708
poly	5	3	0.1	0	-15.1	2.6	-0.4	0.965	0.918	0.983	0.935	0.913	0.951	0.699	0.343	0.865	0.419	0.24	0.604	0.714	0.408	0.857	0.476	0.295	0.633
poly	5	3	0.1	1	-12.9	2.2	-0.5	0.97	0.951	0.977	0.945	0.926	0.964	0.722	0.518	0.817	0.543	0.345	0.668	0.727	0.551	0.81	0.562	0.365	0.68
poly	5	3	0.1	2	-10.9	1.9	-0.4	0.973	0.94	0.986	0.95	0.932	0.963	0.722	0.408	0.869	0.483	0.311	0.638	0.727	0.469	0.848	0.523	0.34	0.659
poly	5	3	0.1	3	-9.4	1.8	-0.5	0.973	0.957	0.979	0.951	0.933	0.968	0.735	0.559	0.817	0.573	0.382	0.688	0.747	0.592	0.819	0.598	0.413	0.705
