Kernel	C	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
linear	1	-3.1	2.8	-0.2	0.997	1.0	0.996	0.995	0.993	0.998	0.7	0.559	0.766	0.542	0.32	0.662	0.714	0.571	0.781	0.56	0.349	0.676
linear	5	-3.1	2.8	-0.2	0.997	1.0	0.996	0.995	0.993	0.998	0.7	0.559	0.766	0.542	0.32	0.662	0.714	0.571	0.781	0.56	0.349	0.676
linear	10	-3.1	2.8	-0.2	0.997	1.0	0.996	0.995	0.993	0.998	0.7	0.559	0.766	0.542	0.32	0.662	0.714	0.571	0.781	0.56	0.349	0.676
linear	15	-3.1	2.8	-0.2	0.997	1.0	0.996	0.995	0.993	0.998	0.7	0.559	0.766	0.542	0.32	0.662	0.714	0.571	0.781	0.56	0.349	0.676
