FPR	TPR0 AUC = 0.9576	TPR1 AUC = 0.9555	TPR2 AUC = 0.9336	TPR3 AUC = 0.9629	TPR4 AUC = 0.957	Mean TPR AUC = 0.9491 (+/- 0.0102)
0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.010101010101010102	0.6804123711340206	0.7291666666666666	0.40625	0.6185567010309279	0.6701030927835051	0.6208977663230241
0.020202020202020204	0.7628865979381443	0.7291666666666666	0.6875	0.7628865979381443	0.7471102780381131	0.7379100281162136
0.030303030303030304	0.7628865979381443	0.7395833333333334	0.6875	0.8144329896907216	0.7521087160262417	0.7513023273976882
0.04040404040404041	0.8041237113402062	0.7916666666666666	0.71875	0.845360824742268	0.8247422680412371	0.7969286941580757
0.05050505050505051	0.8247422680412371	0.8020833333333334	0.71875	0.845360824742268	0.8350515463917526	0.8051975945017181
0.06060606060606061	0.8247422680412371	0.8020833333333334	0.7291666666666666	0.845360824742268	0.845360824742268	0.8093427835051547
0.07070707070707072	0.8350515463917526	0.8541666666666666	0.7708333333333334	0.8534832864729772	0.845360824742268	0.8317791315213995
0.08080808080808081	0.8350515463917526	0.8645833333333334	0.7708333333333334	0.8737894407997501	0.8556701030927835	0.8399855513901905
0.09090909090909091	0.8350515463917526	0.875	0.78125	0.8865979381443299	0.8762886597938144	0.8508376288659794
0.10101010101010102	0.845360824742268	0.8854166666666666	0.7916666666666666	0.8969072164948454	0.8762886597938144	0.8591280068728523
0.11111111111111112	0.8946162657502864	0.8854166666666666	0.7997685185185186	0.9072164948453608	0.8762886597938144	0.8726613211149294
0.12121212121212122	0.8969072164948454	0.8854166666666666	0.8125	0.9072164948453608	0.8969072164948454	0.8797895189003435
0.13131313131313133	0.8969072164948454	0.8854166666666666	0.8125	0.9072164948453608	0.8969072164948454	0.8797895189003435
0.14141414141414144	0.9043007393522858	0.9166666666666666	0.8333333333333334	0.9072164948453608	0.9072164948453608	0.8937467458086015
0.15151515151515152	0.9072164948453608	0.9166666666666666	0.8333333333333334	0.9072164948453608	0.9072164948453608	0.8943298969072165
0.16161616161616163	0.9072164948453608	0.9166666666666666	0.8541666666666666	0.9175257731958762	0.9278350515463918	0.9046821305841923
0.17171717171717174	0.9175257731958762	0.9166666666666666	0.8541666666666666	0.9278350515463918	0.9278350515463918	0.9088058419243987
0.18181818181818182	0.9175257731958762	0.9270833333333334	0.8541666666666666	0.9381443298969072	0.9484536082474226	0.9170747422680412
0.19191919191919193	0.9175257731958762	0.9270833333333334	0.8541666666666666	0.9381443298969072	0.9484536082474226	0.9170747422680412
0.20202020202020204	0.9278350515463918	0.9270833333333334	0.8541666666666666	0.9381443298969072	0.9484536082474226	0.9191365979381443
0.21212121212121213	0.9381443298969072	0.9270833333333334	0.8541666666666666	0.9381443298969072	0.9484536082474226	0.9211984536082474
0.22222222222222224	0.9381443298969072	0.9375	0.8958333333333334	0.9587628865979382	0.9484536082474226	0.9357388316151203
0.23232323232323235	0.9381443298969072	0.9375	0.8958333333333334	0.9587628865979382	0.9484536082474226	0.9357388316151203
0.24242424242424243	0.9381443298969072	0.9505997474747475	0.90625	0.9587628865979382	0.9484536082474226	0.9404421144434032
0.25252525252525254	0.9381443298969072	0.955702861952862	0.90625	0.9587628865979382	0.9484536082474226	0.9414627373390261
0.26262626262626265	0.9381443298969072	0.9583333333333334	0.90625	0.9587628865979382	0.9484536082474226	0.9419888316151204
0.27272727272727276	0.9381443298969072	0.9583333333333334	0.90625	0.9587628865979382	0.9587628865979382	0.9440506872852235
0.2828282828282829	0.9381443298969072	0.9583333333333334	0.90625	0.9587628865979382	0.9587628865979382	0.9440506872852235
0.29292929292929293	0.9381443298969072	0.9583333333333334	0.9166666666666666	0.9587628865979382	0.9587628865979382	0.9461340206185567
0.30303030303030304	0.9381443298969072	0.9583333333333334	0.9375	0.9587628865979382	0.9587628865979382	0.9503006872852234
0.31313131313131315	0.9484536082474226	0.9583333333333334	0.9518097643097643	0.9587628865979382	0.9587628865979382	0.9552244958172793
0.32323232323232326	0.9484536082474226	0.9583333333333334	0.9583333333333334	0.9690721649484536	0.9587628865979382	0.9585910652920961
0.33333333333333337	0.9501718213058419	0.9583333333333334	0.9583333333333334	0.9690721649484536	0.9587628865979382	0.95893470790378
0.3434343434343435	0.955222326356347	0.9583333333333334	0.9791666666666666	0.9690721649484536	0.9587628865979382	0.9641114755805477
0.3535353535353536	0.9690721649484536	0.9583333333333334	0.9791666666666666	0.9690721649484536	0.9587628865979382	0.9668814432989692
0.36363636363636365	0.9690721649484536	0.9583333333333334	0.9791666666666666	0.9690721649484536	0.9587628865979382	0.9668814432989692
0.37373737373737376	0.9690721649484536	0.96875	0.9791666666666666	0.9690721649484536	0.9587628865979382	0.9689647766323024
0.38383838383838387	0.9690721649484536	0.96875	0.9791666666666666	0.9690721649484536	0.979381443298969	0.9730884879725086
0.393939393939394	0.979381443298969	0.96875	0.9791666666666666	0.979381443298969	0.979381443298969	0.9772121993127147
0.4040404040404041	0.979381443298969	0.96875	0.9791666666666666	0.979381443298969	0.979381443298969	0.9772121993127147
0.4141414141414142	0.979381443298969	0.96875	0.9791666666666666	0.979381443298969	0.979381443298969	0.9772121993127147
0.42424242424242425	0.979381443298969	0.96875	0.9791666666666666	0.979381443298969	0.979381443298969	0.9772121993127147
0.43434343434343436	0.979381443298969	0.9791666666666666	0.9791666666666666	0.979381443298969	0.979381443298969	0.9792955326460481
0.4444444444444445	0.979381443298969	0.9791666666666666	0.9791666666666666	0.979381443298969	0.979381443298969	0.9792955326460481
